data,descricao,categoria,valor,tipo,essencial,recorrente,meta_relacionada
2025-08-01,Salário,receita,5000.0,entrada,nao_aplicavel,sim,
2025-08-02,Aluguel,moradia,1200.0,saida,sim,sim,
2025-08-03,Supermercado,alimentacao,400.0,saida,sim,nao,
2025-08-05,Netflix,lazer,55.9,saida,nao,sim,
2025-08-07,Farmácia,saude,70.0,saida,sim,nao,
2025-08-10,Restaurante,alimentacao,80.0,saida,nao,nao,
2025-08-12,Uber,transporte,35.0,saida,nao,nao,
2025-08-15,Conta de Luz,moradia,160.0,saida,sim,sim,
2025-08-20,Academia,saude,99.0,saida,nao,sim,
2025-08-25,Combustível,transporte,210.0,saida,sim,nao,
2025-08-28,Aporte reserva de emergência,investimento,500.0,saida,nao_aplicavel,sim,Completar reserva de emergência
2025-09-01,Salário,receita,5000.0,entrada,nao_aplicavel,sim,
2025-09-02,Aluguel,moradia,1200.0,saida,sim,sim,
2025-09-03,Supermercado,alimentacao,430.0,saida,sim,nao,
2025-09-05,Netflix,lazer,55.9,saida,nao,sim,
2025-09-07,Farmácia,saude,75.0,saida,sim,nao,
2025-09-10,Restaurante,alimentacao,95.0,saida,nao,nao,
2025-09-12,Uber,transporte,40.0,saida,nao,nao,
2025-09-15,Conta de Luz,moradia,170.0,saida,sim,sim,
2025-09-20,Academia,saude,99.0,saida,nao,sim,
2025-09-25,Combustível,transporte,230.0,saida,sim,nao,
2025-09-28,Aporte reserva de emergência,investimento,550.0,saida,nao_aplicavel,sim,Completar reserva de emergência
2025-10-01,Salário,receita,5000.0,entrada,nao_aplicavel,sim,
2025-10-02,Aluguel,moradia,1200.0,saida,sim,sim,
2025-10-03,Supermercado,alimentacao,450.0,saida,sim,nao,
2025-10-05,Netflix,lazer,55.9,saida,nao,sim,
2025-10-07,Farmácia,saude,89.0,saida,sim,nao,
2025-10-10,Restaurante,alimentacao,120.0,saida,nao,nao,
2025-10-12,Uber,transporte,45.0,saida,nao,nao,
2025-10-15,Conta de Luz,moradia,180.0,saida,sim,sim,
2025-10-20,Academia,saude,99.0,saida,nao,sim,
2025-10-25,Combustível,transporte,250.0,saida,sim,nao,
2025-10-28,Aporte reserva de emergência,investimento,600.0,saida,nao_aplicavel,sim,Completar reserva de emergência
